Nivel,Largo_Patron,Aciertos,Errores,Tiempo_Reaccion,Racha,Accion_ML
4,4,0,4,4.25,-2,BAJAR
5,5,3,2,5.1,-1,MANTENER
5,2,2,0,3.86,-1,MANTENER
2,3,2,1,2.54,2,MANTENER
1,5,5,0,3.61,3,SUBIR
2,4,4,0,2.81,1,SUBIR
3,5,5,0,3.92,-1,SUBIR
2,4,1,3,2.57,-2,BAJAR
3,4,3,1,3.3,0,MANTENER
3,3,0,3,4.06,0,BAJAR
1,5,5,0,3.47,0,SUBIR
5,4,1,3,4.42,3,SUBIR
2,4,0,4,2.75,-1,BAJAR
2,2,1,1,2.06,2,MANTENER
4,3,0,3,3.96,3,SUBIR
5,5,4,1,4.15,0,MANTENER
4,4,2,2,3.33,-2,MANTENER
3,5,5,0,3.89,0,SUBIR
4,2,1,1,3.07,0,MANTENER
4,4,1,3,4.24,2,BAJAR
2,5,2,3,2.8,0,BAJAR
2,5,1,4,4.3,0,BAJAR
2,4,3,1,2.98,0,MANTENER
2,4,1,3,3.28,2,BAJAR
2,4,3,1,3.42,3,SUBIR
5,4,4,0,4.3,2,MANTENER
3,5,0,5,3.88,-1,BAJAR
2,3,3,0,3.03,1,MANTENER
3,3,2,1,3.36,2,MANTENER
4,3,1,2,3.16,0,BAJAR
2,3,3,0,3.68,-3,BAJAR
4,4,3,1,3.69,-3,BAJAR
3,3,1,2,3.08,0,BAJAR
1,4,3,1,2.14,-3,BAJAR
1,3,0,3,2.15,0,MANTENER
1,4,3,1,2.4,-1,MANTENER
2,4,4,0,2.78,-2,SUBIR
2,5,0,5,4.29,1,BAJAR
2,4,2,2,3.92,3,SUBIR
3,4,1,3,3.73,1,BAJAR
3,2,1,1,3.11,2,MANTENER
4,3,0,3,4.38,-2,BAJAR
1,3,1,2,2.8,3,SUBIR
1,5,0,5,2.98,0,MANTENER
1,4,1,3,2.96,1,MANTENER
4,2,1,1,3.95,-2,MANTENER
1,4,3,1,2.63,2,MANTENER
4,3,3,0,4.06,0,MANTENER
3,3,2,1,3.05,-1,MANTENER
5,4,1,3,3.7,2,BAJAR
2,5,3,2,4.19,3,SUBIR
4,5,3,2,4.51,1,MANTENER
2,5,4,1,3.22,0,MANTENER
4,5,0,5,4.45,-3,BAJAR
2,4,2,2,2.58,1,MANTENER
2,3,1,2,3.62,2,BAJAR
5,5,3,2,4.12,-3,BAJAR
1,5,3,2,3.52,2,MANTENER
3,4,4,0,2.98,3,SUBIR
5,5,2,3,4.47,1,BAJAR
5,5,2,3,4.71,-3,BAJAR
3,5,4,1,4.44,-1,MANTENER
5,2,0,2,3.64,-2,BAJAR
4,2,2,0,3.62,3,SUBIR
1,4,4,0,3.54,3,SUBIR
3,3,2,1,3.24,0,MANTENER
3,4,3,1,3.78,0,MANTENER
2,2,2,0,2.52,0,MANTENER
4,5,5,0,3.71,1,SUBIR
4,5,4,1,3.71,3,SUBIR
1,3,3,0,2.91,2,MANTENER
3,3,0,3,3.64,-3,BAJAR
4,2,0,2,3.69,-3,BAJAR
3,3,2,1,3.76,-1,MANTENER
3,2,1,1,2.97,3,SUBIR
5,5,4,1,4.47,-3,BAJAR
3,4,2,2,3.02,-1,MANTENER
2,3,1,2,2.3,-3,BAJAR
4,5,1,4,4.71,-2,BAJAR
4,5,0,5,3.61,0,BAJAR
3,5,4,1,3.81,-2,MANTENER
4,3,2,1,3.7,-1,MANTENER
4,5,5,0,3.84,1,SUBIR
2,2,1,1,2.74,3,SUBIR
4,3,1,2,4.31,2,BAJAR
1,4,3,1,2.51,-2,MANTENER
3,4,4,0,4.08,1,MANTENER
4,2,0,2,3.92,-1,BAJAR
2,2,0,2,2.71,1,BAJAR
2,4,2,2,3.27,-3,BAJAR
1,3,3,0,3.29,-3,BAJAR
2,2,1,1,2.94,-1,MANTENER
5,4,4,0,4.67,3,SUBIR
2,5,3,2,2.93,-3,BAJAR
4,3,0,3,3.89,1,BAJAR
2,2,0,2,3.39,0,BAJAR
2,3,1,2,3.09,0,BAJAR
1,5,5,0,3.4,2,SUBIR
1,3,1,2,2.39,0,MANTENER
2,2,0,2,3.2,-3,BAJAR
5,5,4,1,4.93,-3,BAJAR
1,5,2,3,3.53,2,MANTENER
2,2,0,2,2.13,-1,BAJAR
3,2,1,1,2.3,-2,MANTENER
4,2,2,0,2.96,-1,MANTENER
2,3,0,3,3.49,-2,BAJAR
5,4,1,3,4.36,3,SUBIR
3,2,2,0,3.26,0,MANTENER
1,2,2,0,2.54,3,SUBIR
5,4,0,4,4.31,2,BAJAR
3,3,2,1,3.58,-3,BAJAR
2,4,2,2,3.87,2,MANTENER
1,2,1,1,1.95,1,MANTENER
5,2,0,2,3.76,2,BAJAR
3,4,1,3,3.47,2,BAJAR
2,2,2,0,2.46,-1,MANTENER
3,3,2,1,3.85,1,MANTENER
2,2,1,1,1.99,0,MANTENER
2,3,3,0,2.98,-3,BAJAR
2,4,3,1,3.62,-3,BAJAR
3,4,2,2,4.3,-2,MANTENER
3,2,1,1,3.43,-2,MANTENER
4,4,4,0,3.67,1,MANTENER
4,3,1,2,3.31,-1,BAJAR
4,3,2,1,4.0,-2,MANTENER
3,5,5,0,4.05,0,MANTENER
1,2,0,2,1.73,1,MANTENER
1,3,2,1,2.75,-3,BAJAR
1,4,4,0,3.12,-3,SUBIR
1,2,0,2,2.76,-2,MANTENER
3,2,0,2,3.56,-2,BAJAR
1,5,1,4,3.14,3,SUBIR
4,3,1,2,3.78,3,SUBIR
3,3,2,1,2.73,-3,BAJAR
2,5,5,0,3.02,1,SUBIR
3,2,1,1,2.59,-3,BAJAR
1,4,4,0,2.64,-2,SUBIR
1,4,4,0,2.81,3,SUBIR
3,5,5,0,3.84,2,SUBIR
2,3,3,0,2.61,-1,MANTENER
4,5,5,0,4.14,-3,BAJAR
1,4,0,4,3.38,-3,BAJAR
5,2,1,1,4.34,-1,MANTENER
5,4,2,2,4.18,-1,MANTENER
1,3,1,2,2.08,2,MANTENER
4,4,1,3,3.61,-3,BAJAR
4,5,1,4,4.04,-2,BAJAR
4,3,2,1,3.85,3,SUBIR
5,5,5,0,4.53,2,MANTENER
3,2,0,2,3.62,2,BAJAR
3,2,0,2,3.5,0,BAJAR
5,4,2,2,5.1,2,MANTENER
2,2,0,2,3.31,1,BAJAR
4,2,2,0,3.78,-1,MANTENER
3,2,0,2,2.97,3,SUBIR
1,4,3,1,2.67,0,MANTENER
5,3,2,1,3.97,2,MANTENER
4,4,0,4,4.74,3,SUBIR
1,5,5,0,3.38,-1,SUBIR
2,5,2,3,2.94,-2,BAJAR
3,4,2,2,3.55,1,MANTENER
4,2,0,2,4.12,1,BAJAR
4,2,2,0,3.35,-1,MANTENER
1,3,3,0,2.25,-2,SUBIR
4,4,4,0,3.34,0,MANTENER
3,5,3,2,3.89,2,MANTENER
2,4,1,3,3.48,0,BAJAR
2,5,3,2,3.6,2,MANTENER
2,3,1,2,2.42,3,SUBIR
1,2,1,1,1.91,0,MANTENER
4,3,1,2,4.06,-3,BAJAR
2,4,3,1,3.03,3,SUBIR
2,2,0,2,2.26,0,BAJAR
1,5,1,4,2.64,1,MANTENER
5,4,4,0,4.73,0,MANTENER
5,2,2,0,4.5,2,MANTENER
2,2,2,0,3.21,3,SUBIR
2,3,0,3,3.48,-3,BAJAR
2,5,0,5,3.26,2,BAJAR
1,2,0,2,2.5,3,SUBIR
4,4,2,2,4.03,-3,BAJAR
5,2,0,2,4.09,2,BAJAR
1,4,3,1,2.52,-1,MANTENER
1,2,2,0,2.08,3,SUBIR
4,4,3,1,3.54,-1,MANTENER
1,4,1,3,2.74,1,MANTENER
5,3,2,1,4.81,-2,MANTENER
4,3,0,3,3.89,0,BAJAR
3,4,3,1,3.4,-3,BAJAR
5,5,0,5,4.82,-1,BAJAR
1,2,1,1,2.49,1,MANTENER
3,3,0,3,2.77,1,BAJAR
1,3,3,0,2.33,0,SUBIR
2,4,4,0,3.15,3,SUBIR
5,2,1,1,4.25,-1,MANTENER
2,3,0,3,2.77,-3,BAJAR
3,2,1,1,2.4,-1,MANTENER
5,5,4,1,4.48,1,MANTENER
5,5,3,2,4.57,3,SUBIR
2,2,2,0,2.55,2,MANTENER
3,2,0,2,2.41,-2,BAJAR
4,4,0,4,3.77,-1,BAJAR
5,5,2,3,4.06,1,BAJAR
3,5,5,0,3.89,-2,SUBIR
2,2,2,0,2.9,3,SUBIR
2,3,0,3,3.18,-2,BAJAR
4,4,3,1,3.54,1,MANTENER
4,2,2,0,2.88,3,SUBIR
5,5,1,4,5.35,1,BAJAR
5,4,0,4,4.88,-2,BAJAR
1,2,2,0,2.55,-2,MANTENER
1,4,1,3,2.28,2,MANTENER
1,3,3,0,2.98,1,MANTENER
2,4,4,0,3.14,-3,SUBIR
1,3,1,2,3.01,1,MANTENER
5,5,1,4,4.31,1,BAJAR
1,3,2,1,2.81,-3,BAJAR
4,2,2,0,3.3,3,SUBIR
3,5,3,2,3.26,1,MANTENER
5,5,4,1,4.47,3,SUBIR
5,2,2,0,3.3,0,MANTENER
1,3,0,3,2.36,3,SUBIR
1,5,1,4,3.77,1,MANTENER
5,5,0,5,4.68,-1,BAJAR
3,3,3,0,3.69,-2,MANTENER
4,3,1,2,3.6,0,BAJAR
5,3,1,2,4.08,-2,BAJAR
1,4,3,1,2.97,-3,BAJAR
2,3,1,2,3.69,-2,BAJAR
4,3,0,3,3.2,0,BAJAR
3,2,2,0,3.0,3,SUBIR
4,4,3,1,3.82,3,SUBIR
1,5,5,0,3.8,0,SUBIR
4,2,0,2,3.63,1,BAJAR
2,4,1,3,3.31,2,BAJAR
5,4,2,2,4.9,2,MANTENER
5,4,0,4,3.98,-1,BAJAR
5,2,0,2,3.76,2,BAJAR
4,3,2,1,4.14,-1,MANTENER
5,4,2,2,3.81,-3,BAJAR
5,2,1,1,4.29,2,MANTENER
1,2,0,2,2.43,-2,MANTENER
1,2,2,0,2.0,-2,MANTENER
2,2,1,1,2.65,-1,MANTENER
2,2,1,1,2.63,2,MANTENER
1,2,2,0,1.78,1,MANTENER
3,4,0,4,3.38,1,BAJAR
1,2,0,2,2.61,1,MANTENER
1,5,1,4,2.61,-2,MANTENER
2,5,3,2,4.18,0,MANTENER
4,5,2,3,4.78,2,BAJAR
2,4,1,3,3.77,-3,BAJAR
4,2,2,0,3.94,-2,MANTENER
4,4,2,2,4.09,1,MANTENER
3,5,2,3,3.98,2,BAJAR
1,3,2,1,2.36,3,SUBIR
1,3,3,0,2.09,2,SUBIR
4,3,1,2,4.32,1,BAJAR
4,2,0,2,3.35,3,SUBIR
4,2,2,0,3.9,3,SUBIR
4,5,1,4,5.08,1,BAJAR
2,2,1,1,2.16,-2,MANTENER
1,4,3,1,3.45,1,MANTENER
1,2,0,2,2.88,-1,MANTENER
3,5,4,1,4.28,-3,BAJAR
3,3,2,1,3.53,-1,MANTENER
2,4,0,4,3.77,3,SUBIR
1,4,4,0,2.13,-1,SUBIR
3,4,4,0,3.09,3,SUBIR
3,4,4,0,3.04,0,SUBIR
2,2,0,2,3.02,1,BAJAR
3,2,0,2,3.43,-3,BAJAR
4,5,1,4,4.28,0,BAJAR
5,5,2,3,4.6,1,BAJAR
3,2,2,0,2.73,0,MANTENER
2,5,1,4,3.85,2,BAJAR
4,2,2,0,2.81,3,SUBIR
5,4,3,1,4.23,-1,MANTENER
3,5,4,1,4.06,2,MANTENER
5,2,1,1,3.5,3,SUBIR
2,5,4,1,3.84,1,MANTENER
1,5,1,4,3.37,-3,BAJAR
4,5,1,4,4.31,-3,BAJAR
1,4,2,2,3.12,2,MANTENER
3,3,3,0,3.75,2,MANTENER
1,2,2,0,2.96,2,MANTENER
3,2,0,2,2.32,0,BAJAR
2,2,0,2,2.42,2,BAJAR
4,4,0,4,3.7,3,SUBIR
3,4,3,1,4.32,-1,MANTENER
4,3,2,1,4.1,0,MANTENER
3,4,1,3,4.33,-1,BAJAR
2,4,3,1,3.55,0,MANTENER
4,4,2,2,4.5,-2,MANTENER
4,4,1,3,3.84,-1,BAJAR
1,2,2,0,1.65,-3,BAJAR
5,3,3,0,3.47,2,MANTENER
5,3,2,1,3.86,-1,MANTENER
5,3,2,1,4.36,3,SUBIR
3,2,2,0,2.58,-3,BAJAR
1,2,0,2,1.99,-2,MANTENER
4,4,4,0,3.98,1,MANTENER
2,4,4,0,3.0,3,SUBIR
1,4,3,1,3.29,-2,MANTENER
4,3,0,3,3.29,2,BAJAR
1,4,0,4,2.88,2,MANTENER
1,2,1,1,1.64,1,MANTENER
5,2,2,0,4.57,-2,MANTENER
1,3,3,0,2.66,-1,MANTENER
2,2,1,1,2.47,3,SUBIR
1,4,3,1,2.18,-3,BAJAR
3,4,4,0,3.12,0,SUBIR
4,5,4,1,3.81,-1,MANTENER
1,4,0,4,2.27,-2,MANTENER
2,5,4,1,4.26,-1,MANTENER
4,5,0,5,4.83,-2,BAJAR
1,3,3,0,2.51,3,SUBIR
3,5,2,3,3.54,3,SUBIR
2,3,2,1,3.27,-2,MANTENER
4,3,1,2,4.07,-2,BAJAR
2,4,0,4,3.67,-1,BAJAR
2,4,1,3,3.07,-2,BAJAR
4,3,2,1,4.29,2,MANTENER
5,3,0,3,3.49,1,BAJAR
2,2,1,1,2.0,3,SUBIR
2,3,1,2,2.39,3,SUBIR
5,2,1,1,3.46,2,MANTENER
1,2,2,0,2.8,3,SUBIR
2,5,1,4,3.94,1,BAJAR
4,4,0,4,3.87,0,BAJAR
2,3,2,1,3.57,0,MANTENER
1,5,0,5,3.85,3,SUBIR
5,4,1,3,4.84,0,BAJAR
4,3,2,1,4.01,3,SUBIR
4,4,3,1,4.74,-3,BAJAR
3,2,2,0,3.5,0,MANTENER
3,3,2,1,3.63,3,SUBIR
5,2,1,1,3.86,1,MANTENER
1,3,3,0,3.21,0,MANTENER
1,4,2,2,2.35,0,MANTENER
3,5,2,3,4.48,1,BAJAR
1,2,0,2,2.17,-3,BAJAR
4,4,4,0,4.47,1,MANTENER
4,2,1,1,3.37,-1,MANTENER
5,2,2,0,3.37,-2,MANTENER
2,2,2,0,3.2,3,SUBIR
2,4,1,3,3.08,-1,BAJAR
2,4,4,0,3.68,-2,MANTENER
1,5,2,3,3.44,1,MANTENER
5,5,5,0,4.37,0,MANTENER
3,3,3,0,3.69,3,SUBIR
4,5,3,2,4.27,3,SUBIR
4,5,4,1,4.65,2,MANTENER
2,4,0,4,3.62,-1,BAJAR
4,4,3,1,3.98,-2,MANTENER
1,4,0,4,3.13,0,MANTENER
5,2,2,0,4.02,2,MANTENER
5,5,1,4,5.08,-2,BAJAR
2,4,1,3,3.07,2,BAJAR
3,3,0,3,3.61,-1,BAJAR
5,5,4,1,5.07,-1,MANTENER
5,4,3,1,4.43,-2,MANTENER
2,2,2,0,2.96,1,MANTENER
4,5,4,1,5.0,3,SUBIR
1,3,2,1,2.2,-3,BAJAR
2,5,2,3,3.75,0,BAJAR
5,3,1,2,4.62,-2,BAJAR
2,5,5,0,3.18,2,SUBIR
1,5,2,3,2.81,2,MANTENER
1,5,4,1,3.23,1,MANTENER
5,5,4,1,4.95,-2,MANTENER
5,5,4,1,5.07,1,MANTENER
4,4,0,4,3.67,3,SUBIR
2,2,2,0,2.17,0,MANTENER
3,3,2,1,3.7,-2,MANTENER
2,5,5,0,2.85,0,SUBIR
4,3,2,1,4.33,-3,BAJAR
4,5,0,5,4.91,3,SUBIR
1,5,0,5,2.69,-1,MANTENER
3,3,2,1,2.96,3,SUBIR
5,2,0,2,3.11,2,BAJAR
2,2,2,0,1.95,-2,MANTENER
1,4,4,0,3.07,-1,SUBIR
3,4,2,2,3.93,-3,BAJAR
3,3,2,1,3.87,-3,BAJAR
3,3,2,1,4.06,2,MANTENER
4,4,0,4,4.17,-2,BAJAR
5,4,0,4,3.89,-3,BAJAR
4,4,2,2,4.25,2,MANTENER
3,4,0,4,3.69,3,SUBIR
1,2,1,1,1.83,-2,MANTENER
4,5,3,2,4.37,-2,MANTENER
5,4,2,2,5.13,3,SUBIR
5,3,0,3,4.22,-3,BAJAR
3,3,1,2,3.78,1,BAJAR
5,4,1,3,4.56,0,BAJAR
4,3,0,3,3.17,-2,BAJAR
2,3,0,3,2.55,-1,BAJAR
2,2,0,2,2.75,-3,BAJAR
2,2,1,1,2.39,-1,MANTENER
1,2,1,1,2.91,-1,MANTENER
2,2,1,1,3.09,2,MANTENER
1,2,2,0,2.91,-3,BAJAR
1,4,0,4,2.31,-3,BAJAR
3,2,0,2,3.43,-3,BAJAR
3,3,0,3,3.85,-1,BAJAR
4,3,1,2,3.84,1,BAJAR
1,2,1,1,2.69,1,MANTENER
4,2,2,0,3.64,2,MANTENER
4,3,2,1,4.41,2,MANTENER
2,2,2,0,3.09,2,MANTENER
4,5,3,2,4.33,3,SUBIR
1,2,0,2,2.89,3,SUBIR
3,4,2,2,3.58,3,SUBIR
1,5,5,0,3.71,2,SUBIR
5,5,5,0,4.95,-3,BAJAR
3,4,0,4,3.42,-3,BAJAR
3,4,3,1,3.19,3,SUBIR
2,3,3,0,2.93,-1,MANTENER
4,2,2,0,3.18,-2,MANTENER
2,2,2,0,2.6,1,MANTENER
5,2,0,2,3.53,-2,BAJAR
3,5,2,3,4.49,2,BAJAR
1,2,2,0,1.86,3,SUBIR
1,4,3,1,2.54,1,MANTENER
2,3,0,3,3.55,2,BAJAR
1,3,2,1,2.12,-2,MANTENER
3,5,3,2,3.23,2,MANTENER
1,2,2,0,2.81,3,SUBIR
4,4,1,3,3.45,-3,BAJAR
3,2,0,2,2.42,3,SUBIR
1,4,1,3,2.16,-1,MANTENER
2,4,2,2,3.18,3,SUBIR
2,5,5,0,4.0,1,MANTENER
2,2,0,2,3.36,2,BAJAR
5,3,1,2,4.67,0,BAJAR
3,2,1,1,3.53,2,MANTENER
5,3,1,2,3.68,0,BAJAR
2,3,2,1,2.53,-2,MANTENER
3,4,4,0,3.75,-3,BAJAR
5,3,3,0,4.51,-3,BAJAR
3,2,2,0,3.63,3,SUBIR
4,3,2,1,3.83,3,SUBIR
4,4,3,1,4.19,1,MANTENER
1,2,2,0,1.89,1,MANTENER
3,4,3,1,3.67,-1,MANTENER
3,4,2,2,3.24,3,SUBIR
2,2,1,1,2.09,2,MANTENER
4,3,2,1,3.06,1,MANTENER
1,3,3,0,3.15,0,MANTENER
3,2,0,2,2.98,0,BAJAR
2,5,5,0,3.24,2,SUBIR
4,3,1,2,3.59,-3,BAJAR
3,4,0,4,3.33,2,BAJAR
5,3,2,1,4.65,0,MANTENER
1,4,3,1,2.63,3,SUBIR
2,5,3,2,3.25,2,MANTENER
1,4,0,4,3.37,1,MANTENER
3,3,3,0,3.72,3,SUBIR
5,5,3,2,4.62,3,SUBIR
4,5,0,5,4.57,2,BAJAR
3,2,0,2,2.53,0,BAJAR
2,2,0,2,2.11,-2,BAJAR
5,2,1,1,3.52,3,SUBIR
1,2,0,2,1.87,2,MANTENER
3,3,3,0,2.82,-1,MANTENER
3,5,4,1,4.46,1,MANTENER
4,4,1,3,4.11,0,BAJAR
1,3,1,2,2.13,0,MANTENER
2,5,0,5,3.15,-3,BAJAR
1,3,3,0,1.93,-3,SUBIR
3,3,3,0,2.94,0,MANTENER
3,5,3,2,4.54,-1,MANTENER
4,5,4,1,4.89,1,MANTENER
2,2,2,0,2.29,-3,BAJAR
1,5,1,4,3.72,0,MANTENER
2,3,1,2,2.22,3,SUBIR
3,5,2,3,3.57,1,BAJAR
1,5,0,5,3.14,-1,MANTENER
2,4,2,2,2.92,-2,MANTENER
2,5,3,2,3.33,-1,MANTENER
2,2,2,0,3.22,-2,MANTENER
2,2,1,1,2.25,3,SUBIR
5,4,3,1,4.41,3,SUBIR
4,4,2,2,4.17,3,SUBIR
3,5,4,1,4.63,2,MANTENER
3,5,4,1,3.66,3,SUBIR
3,2,2,0,3.06,-1,MANTENER
3,4,4,0,3.02,-2,SUBIR
1,3,3,0,2.68,-1,MANTENER
5,3,0,3,3.47,1,BAJAR
5,4,4,0,3.86,0,MANTENER
2,5,2,3,2.91,-1,BAJAR
4,2,1,1,3.32,-3,BAJAR
3,2,0,2,2.88,3,SUBIR
5,2,0,2,3.48,0,BAJAR
5,5,4,1,5.28,-2,MANTENER
5,2,1,1,3.34,2,MANTENER
2,2,1,1,2.74,2,MANTENER
4,5,3,2,4.07,0,MANTENER
4,3,2,1,3.69,0,MANTENER
3,2,0,2,3.28,3,SUBIR
5,3,1,2,4.21,1,BAJAR
2,3,3,0,3.33,1,MANTENER
4,2,0,2,2.86,3,SUBIR
5,5,4,1,4.63,-1,MANTENER
4,5,4,1,4.38,3,SUBIR
3,2,2,0,2.47,-1,MANTENER
5,4,0,4,4.82,2,BAJAR
3,4,4,0,4.06,1,MANTENER
3,5,5,0,3.85,1,SUBIR
5,3,2,1,3.45,3,SUBIR
3,2,1,1,3.07,3,SUBIR
2,5,2,3,3.43,-3,BAJAR
3,5,4,1,4.02,-2,MANTENER
3,2,2,0,2.3,-1,MANTENER
4,3,3,0,3.35,-1,MANTENER
2,3,3,0,3.62,2,MANTENER
4,5,4,1,4.97,2,MANTENER
5,4,4,0,4.54,-3,BAJAR
2,2,0,2,2.98,0,BAJAR
1,4,4,0,2.48,-3,SUBIR
1,2,0,2,1.67,1,MANTENER
3,2,2,0,2.77,0,MANTENER
1,3,3,0,1.84,2,SUBIR
4,2,1,1,3.48,-2,MANTENER
3,5,3,2,3.6,0,MANTENER
5,5,4,1,4.42,-1,MANTENER
5,2,2,0,4.02,-2,MANTENER
2,4,1,3,3.68,3,SUBIR
5,5,1,4,4.82,-3,BAJAR
1,3,3,0,2.52,-1,MANTENER
5,5,3,2,4.66,-2,MANTENER
5,2,1,1,4.36,0,MANTENER
3,3,3,0,2.79,0,MANTENER
5,2,1,1,3.65,0,MANTENER
4,4,4,0,4.62,2,MANTENER
1,2,0,2,2.93,-2,MANTENER
5,3,1,2,3.58,0,BAJAR
4,4,2,2,4.44,2,MANTENER
3,4,1,3,3.15,-3,BAJAR
5,2,0,2,3.84,-2,BAJAR
2,4,2,2,2.64,0,MANTENER
2,4,2,2,2.85,-2,MANTENER
1,5,4,1,3.07,-3,BAJAR
3,3,3,0,3.13,1,MANTENER
1,4,1,3,3.41,3,SUBIR
4,3,1,2,3.48,-3,BAJAR
4,2,0,2,2.99,0,BAJAR
5,4,4,0,4.44,3,SUBIR
1,2,1,1,2.64,-1,MANTENER
