Nivel,Accuracy,Tiempo_Promedio,Racha,Accion
3,1.0,2.52,1,MANTENER
5,1.0,1.31,2,MANTENER
4,1.0,0.83,5,SUBIR
1,0.5,1.93,-3,BAJAR
5,1.0,0.86,2,MANTENER
2,0.0,2.37,2,BAJAR
2,1.0,1.16,-3,MANTENER
3,1.0,1.09,5,SUBIR
2,0.33,2.34,-3,BAJAR
1,1.0,0.81,2,SUBIR
4,1.0,1.26,1,MANTENER
4,0.6,2.71,-3,BAJAR
1,1.0,1.4,4,SUBIR
3,1.0,0.87,2,MANTENER
3,1.0,1.33,5,SUBIR
3,0.75,1.57,-2,BAJAR
1,1.0,1.12,1,MANTENER
5,1.0,0.94,5,SUBIR
1,1.0,1.36,-2,MANTENER
2,1.0,1.51,0,MANTENER
3,1.0,1.47,-3,MANTENER
3,1.0,1.38,2,MANTENER
5,1.0,1.12,-1,MANTENER
3,0.75,3.49,-1,BAJAR
4,1.0,1.58,-1,MANTENER
2,0.67,2.33,5,MANTENER
3,1.0,1.03,1,MANTENER
5,0.83,2.07,3,MANTENER
4,0.8,2.03,5,MANTENER
5,1.0,1.11,1,MANTENER
4,1.0,2.46,5,MANTENER
4,0.0,2.09,-2,BAJAR
5,1.0,1.23,1,MANTENER
3,1.0,1.12,-3,MANTENER
1,1.0,1.47,5,SUBIR
4,1.0,1.41,4,MANTENER
5,0.83,1.85,-2,BAJAR
3,0.5,2.63,4,BAJAR
1,0.0,2.83,3,BAJAR
2,1.0,1.23,4,SUBIR
5,0.67,2.83,5,MANTENER
1,0.0,1.99,3,BAJAR
1,1.0,1.24,-2,MANTENER
3,1.0,1.18,-2,MANTENER
3,0.75,2.18,1,MANTENER
4,1.0,0.94,5,SUBIR
1,1.0,1.26,1,MANTENER
4,0.8,1.75,5,MANTENER
3,0.25,1.49,5,BAJAR
4,1.0,1.59,5,MANTENER
4,1.0,2.07,-1,MANTENER
5,0.83,1.62,5,MANTENER
5,0.67,2.29,-3,BAJAR
5,1.0,0.97,-1,MANTENER
2,0.0,2.38,5,BAJAR
4,0.8,1.78,5,MANTENER
1,0.5,3.6,-1,BAJAR
5,1.0,1.46,3,MANTENER
4,1.0,0.92,-1,MANTENER
5,0.67,2.59,5,MANTENER
4,0.6,2.28,2,MANTENER
3,0.75,2.67,2,MANTENER
4,1.0,1.33,-1,MANTENER
3,0.75,2.2,1,MANTENER
2,0.33,2.14,-1,BAJAR
3,1.0,0.8,3,MANTENER
4,1.0,1.05,3,MANTENER
3,0.5,2.33,5,BAJAR
1,1.0,1.52,5,SUBIR
3,0.25,1.58,0,BAJAR
1,0.5,2.1,-1,BAJAR
2,0.67,2.59,-3,BAJAR
5,0.83,2.05,-1,BAJAR
3,1.0,1.07,-1,MANTENER
1,1.0,1.29,2,SUBIR
4,0.8,1.48,4,MANTENER
2,1.0,1.49,-1,MANTENER
3,1.0,1.01,-3,MANTENER
2,0.67,2.86,3,MANTENER
3,0.5,1.78,-1,BAJAR
2,0.67,2.57,-1,BAJAR
2,0.33,1.99,-2,BAJAR
1,1.0,1.2,2,SUBIR
3,1.0,0.95,0,MANTENER
5,1.0,1.45,3,MANTENER
1,1.0,1.35,-3,MANTENER
1,1.0,1.04,1,MANTENER
2,0.67,2.36,5,MANTENER
3,0.75,2.44,1,MANTENER
3,1.0,1.18,-3,MANTENER
1,0.5,1.8,-1,BAJAR
1,1.0,1.49,-1,MANTENER
2,1.0,0.97,4,SUBIR
2,0.67,1.77,5,MANTENER
1,0.5,2.05,1,BAJAR
3,0.75,2.02,2,MANTENER
5,1.0,1.12,5,SUBIR
5,1.0,0.92,-2,MANTENER
4,0.8,1.7,3,MANTENER
4,1.0,1.25,4,SUBIR
2,1.0,1.45,-1,MANTENER
1,1.0,1.03,5,SUBIR
2,1.0,0.88,-1,MANTENER
3,1.0,1.56,-2,MANTENER
3,0.0,2.78,2,BAJAR
4,0.8,2.64,1,MANTENER
4,0.6,2.09,3,MANTENER
5,0.83,2.47,4,MANTENER
1,0.5,2.31,2,BAJAR
2,0.67,1.57,4,MANTENER
1,1.0,0.94,3,SUBIR
2,1.0,1.55,0,MANTENER
4,1.0,1.06,1,MANTENER
4,1.0,0.95,0,MANTENER
5,0.83,1.95,-3,BAJAR
2,1.0,1.52,-3,MANTENER
3,0.75,3.64,-2,BAJAR
4,0.8,3.29,0,MANTENER
5,1.0,0.86,3,MANTENER
4,0.6,2.99,-2,BAJAR
3,1.0,1.57,-3,MANTENER
1,1.0,1.55,2,SUBIR
2,1.0,1.21,5,SUBIR
5,1.0,1.48,-3,MANTENER
5,1.0,1.08,2,MANTENER
2,1.0,0.86,3,SUBIR
4,0.8,1.81,3,MANTENER
1,1.0,1.31,0,MANTENER
4,1.0,1.53,4,MANTENER
3,0.75,2.72,3,MANTENER
1,1.0,1.1,0,MANTENER
1,1.0,1.31,3,SUBIR
3,0.75,2.39,-3,BAJAR
3,1.0,1.06,3,MANTENER
2,1.0,1.02,-3,MANTENER
3,0.5,1.95,1,BAJAR
3,1.0,0.8,3,MANTENER
3,0.5,3.5,3,BAJAR
1,1.0,0.84,-3,MANTENER
3,0.5,2.24,0,BAJAR
4,0.8,1.79,-1,BAJAR
2,0.67,2.4,3,MANTENER
1,0.5,2.04,2,BAJAR
3,1.0,1.43,-1,MANTENER
2,0.33,1.83,-2,BAJAR
4,1.0,1.05,-3,MANTENER
5,0.83,1.96,2,MANTENER
3,1.0,1.57,2,MANTENER
2,1.0,1.26,-1,MANTENER
1,1.0,1.44,0,MANTENER
3,1.0,1.29,3,MANTENER
1,0.5,2.34,-2,BAJAR
5,1.0,1.48,-1,MANTENER
2,0.67,2.11,-1,BAJAR
2,0.67,1.55,-1,BAJAR
1,1.0,1.18,-2,MANTENER
2,1.0,1.36,5,SUBIR
2,1.0,1.5,5,SUBIR
1,1.0,1.29,-1,MANTENER
1,1.0,1.12,2,SUBIR
4,1.0,0.87,-2,MANTENER
4,1.0,1.45,1,MANTENER
3,0.75,2.9,5,MANTENER
4,0.8,2.02,4,MANTENER
4,1.0,1.3,-2,MANTENER
2,1.0,0.86,4,SUBIR
2,1.0,2.4,-3,MANTENER
5,1.0,1.31,-3,MANTENER
5,1.0,1.31,2,MANTENER
4,0.6,2.42,-3,BAJAR
4,0.6,1.75,1,MANTENER
2,1.0,0.9,-2,MANTENER
1,1.0,1.25,1,MANTENER
3,0.5,1.54,-2,BAJAR
5,1.0,1.16,0,MANTENER
3,0.75,2.22,0,MANTENER
3,1.0,2.55,3,MANTENER
2,1.0,0.89,-2,MANTENER
3,1.0,1.85,2,MANTENER
5,0.83,2.5,5,MANTENER
3,1.0,2.21,0,MANTENER
3,0.0,2.82,-3,BAJAR
5,1.0,1.05,2,MANTENER
4,0.8,2.91,3,MANTENER
4,1.0,1.25,1,MANTENER
1,0.5,2.4,1,BAJAR
4,0.8,2.42,3,MANTENER
5,0.83,1.75,3,MANTENER
5,0.83,1.65,5,MANTENER
2,0.33,2.81,3,BAJAR
1,0.0,1.98,0,BAJAR
3,1.0,0.9,2,MANTENER
4,1.0,0.92,-2,MANTENER
1,0.5,1.83,2,BAJAR
1,1.0,1.22,2,SUBIR
4,0.6,2.44,3,MANTENER
2,1.0,0.91,4,SUBIR
3,1.0,1.15,0,MANTENER
1,1.0,1.17,2,SUBIR
2,1.0,2.28,-1,MANTENER
4,0.8,1.78,2,MANTENER
3,1.0,1.15,4,SUBIR
1,1.0,1.07,-2,MANTENER
3,1.0,1.52,5,SUBIR
4,0.8,3.44,3,MANTENER
3,1.0,1.55,4,SUBIR
4,0.8,2.81,1,MANTENER
2,1.0,1.59,-2,MANTENER
3,1.0,1.17,5,SUBIR
4,1.0,0.97,-1,MANTENER
3,1.0,1.53,2,MANTENER
4,0.6,2.48,-1,BAJAR
4,0.8,1.84,2,MANTENER
2,0.0,2.53,3,BAJAR
2,1.0,2.1,1,MANTENER
5,1.0,0.91,-3,MANTENER
2,1.0,1.15,-3,MANTENER
3,1.0,1.28,3,MANTENER
3,0.75,2.06,-3,BAJAR
4,1.0,0.85,5,SUBIR
5,1.0,0.96,-1,MANTENER
3,0.0,1.9,-3,BAJAR
2,0.67,2.59,-3,BAJAR
3,0.75,1.7,-1,BAJAR
5,1.0,1.14,-2,MANTENER
2,1.0,2.01,3,MANTENER
3,1.0,1.5,5,SUBIR
1,0.5,2.26,-2,BAJAR
5,1.0,1.07,-3,MANTENER
2,1.0,0.93,-3,MANTENER
5,0.83,2.2,1,MANTENER
1,0.0,2.94,1,BAJAR
3,0.75,2.81,-3,BAJAR
1,1.0,2.44,-1,MANTENER
1,0.5,2.79,4,BAJAR
1,1.0,2.5,3,MANTENER
5,0.83,2.38,0,MANTENER
3,1.0,1.49,2,MANTENER
3,0.5,1.47,4,BAJAR
2,1.0,0.95,0,MANTENER
3,0.75,1.5,1,MANTENER
3,0.5,2.18,4,BAJAR
3,0.5,2.49,-3,BAJAR
4,1.0,1.03,2,MANTENER
1,0.5,2.42,-1,BAJAR
2,0.67,2.28,-2,BAJAR
3,0.5,2.17,4,BAJAR
1,0.5,3.19,0,BAJAR
3,1.0,0.89,5,SUBIR
1,1.0,1.27,4,SUBIR
5,1.0,1.34,3,MANTENER
2,1.0,1.01,2,MANTENER
3,1.0,1.91,1,MANTENER
1,0.5,1.49,2,BAJAR
1,0.5,2.03,2,BAJAR
2,0.67,1.82,-2,BAJAR
2,0.67,2.08,-3,BAJAR
2,1.0,1.56,3,SUBIR
3,1.0,1.3,2,MANTENER
3,1.0,0.9,1,MANTENER
2,0.67,2.78,4,MANTENER
5,1.0,0.97,3,MANTENER
5,0.83,1.72,4,MANTENER
1,1.0,1.41,-2,MANTENER
4,1.0,1.17,5,SUBIR
4,1.0,0.96,-2,MANTENER
1,1.0,1.12,4,SUBIR
5,1.0,1.34,-1,MANTENER
2,1.0,1.99,-3,MANTENER
4,0.8,1.53,0,MANTENER
4,1.0,1.39,-3,MANTENER
4,0.8,2.5,1,MANTENER
3,1.0,1.28,4,SUBIR
2,1.0,1.51,-3,MANTENER
4,1.0,1.2,4,SUBIR
4,1.0,1.15,3,MANTENER
5,0.0,2.33,5,BAJAR
1,1.0,0.98,3,SUBIR
2,1.0,1.09,1,MANTENER
5,1.0,1.89,5,MANTENER
1,0.5,1.54,1,BAJAR
2,1.0,1.85,-1,MANTENER
5,1.0,1.1,0,MANTENER
2,1.0,1.09,2,MANTENER
2,1.0,2.21,-1,MANTENER
1,0.5,2.29,4,BAJAR
3,1.0,1.44,2,MANTENER
2,1.0,1.81,3,MANTENER
3,0.5,2.42,2,BAJAR
5,1.0,1.25,4,SUBIR
5,0.83,2.36,1,MANTENER
4,1.0,0.86,-2,MANTENER
3,0.75,2.28,4,MANTENER
2,0.67,3.1,1,MANTENER
3,0.75,2.46,-1,BAJAR
4,0.6,1.92,0,MANTENER
2,1.0,1.43,2,MANTENER
3,0.75,1.57,3,MANTENER
1,0.0,2.13,0,BAJAR
1,1.0,1.24,4,SUBIR
5,1.0,1.22,-3,MANTENER
1,1.0,0.88,1,MANTENER
3,1.0,2.05,-3,MANTENER
3,1.0,1.07,5,SUBIR
4,1.0,0.89,3,MANTENER
1,1.0,2.37,-2,MANTENER
1,1.0,0.98,2,SUBIR
4,0.6,1.88,3,MANTENER
1,1.0,0.99,0,MANTENER
3,1.0,1.19,4,SUBIR
2,1.0,1.42,0,MANTENER
2,0.67,2.58,1,MANTENER
1,0.5,1.39,1,BAJAR
2,1.0,1.34,2,MANTENER
4,1.0,0.97,-2,MANTENER
5,0.33,1.66,4,BAJAR
3,0.75,2.39,-2,BAJAR
3,1.0,1.5,-3,MANTENER
3,0.75,1.9,1,MANTENER
3,1.0,1.05,3,MANTENER
1,1.0,1.58,5,SUBIR
2,0.67,2.43,1,MANTENER
4,0.2,1.78,2,BAJAR
2,1.0,2.38,4,MANTENER
2,1.0,1.1,3,SUBIR
1,1.0,1.25,3,SUBIR
2,1.0,1.5,2,MANTENER
5,0.83,2.37,2,MANTENER
3,1.0,1.26,3,MANTENER
3,1.0,1.05,0,MANTENER
4,1.0,2.25,-1,MANTENER
2,0.67,2.26,-1,BAJAR
5,1.0,2.58,-1,MANTENER
4,1.0,1.05,4,SUBIR
5,0.83,2.03,5,MANTENER
2,1.0,1.47,5,SUBIR
3,0.75,1.92,1,MANTENER
3,1.0,0.91,-3,MANTENER
4,1.0,1.34,3,MANTENER
3,1.0,1.46,2,MANTENER
5,1.0,0.89,-3,MANTENER
3,1.0,1.33,-1,MANTENER
2,0.67,2.9,-1,BAJAR
4,1.0,1.43,0,MANTENER
3,1.0,1.5,2,MANTENER
1,0.5,2.24,1,BAJAR
4,0.6,1.91,3,MANTENER
2,1.0,1.22,0,MANTENER
4,1.0,0.85,0,MANTENER
3,1.0,1.04,-2,MANTENER
4,1.0,1.39,1,MANTENER
4,1.0,2.0,2,MANTENER
1,0.0,2.24,3,BAJAR
2,1.0,1.29,0,MANTENER
2,0.67,1.93,2,MANTENER
4,1.0,0.93,0,MANTENER
3,1.0,1.45,1,MANTENER
4,0.8,1.72,-2,BAJAR
3,1.0,1.45,-1,MANTENER
5,0.83,2.74,-3,BAJAR
4,1.0,1.15,0,MANTENER
1,0.5,1.71,-3,BAJAR
4,0.2,1.74,1,BAJAR
2,0.67,2.02,3,MANTENER
1,1.0,0.81,0,MANTENER
3,1.0,2.15,1,MANTENER
2,0.67,3.16,4,MANTENER
2,1.0,2.13,4,MANTENER
1,0.0,1.62,1,BAJAR
3,0.75,1.93,-3,BAJAR
1,1.0,1.32,1,MANTENER
1,0.0,2.15,-2,BAJAR
2,1.0,1.94,-1,MANTENER
4,1.0,0.91,-1,MANTENER
4,1.0,1.44,5,MANTENER
4,0.8,2.08,0,MANTENER
4,1.0,2.3,1,MANTENER
3,1.0,0.82,1,MANTENER
3,1.0,1.13,1,MANTENER
3,0.5,1.46,-2,BAJAR
2,1.0,1.07,0,MANTENER
2,0.67,2.71,4,MANTENER
2,0.67,2.19,-1,BAJAR
1,1.0,1.07,0,MANTENER
3,1.0,0.93,3,MANTENER
2,0.67,2.5,-1,BAJAR
5,1.0,0.88,1,MANTENER
4,1.0,1.19,3,MANTENER
5,1.0,1.4,1,MANTENER
3,1.0,1.06,2,MANTENER
1,1.0,1.18,0,MANTENER
5,1.0,1.42,4,MANTENER
5,0.83,2.93,4,MANTENER
3,1.0,1.52,4,SUBIR
2,1.0,1.49,-2,MANTENER
1,1.0,1.12,-3,MANTENER
3,1.0,1.57,-1,MANTENER
4,1.0,1.1,0,MANTENER
3,1.0,1.37,-2,MANTENER
4,0.8,2.67,3,MANTENER
3,1.0,2.31,-3,MANTENER
5,1.0,1.35,5,MANTENER
3,1.0,1.23,0,MANTENER
3,1.0,1.08,5,SUBIR
5,0.83,1.78,5,MANTENER
5,1.0,0.88,2,MANTENER
4,0.8,2.22,0,MANTENER
5,0.67,1.89,-1,BAJAR
4,1.0,0.94,0,MANTENER
2,1.0,0.84,2,MANTENER
2,0.0,2.94,3,BAJAR
4,1.0,1.37,3,MANTENER
3,1.0,1.17,5,SUBIR
1,1.0,0.89,0,MANTENER
5,1.0,1.06,0,MANTENER
5,1.0,1.11,2,MANTENER
1,0.0,1.97,-2,BAJAR
4,1.0,1.59,-2,MANTENER
4,0.8,1.88,5,MANTENER
2,1.0,0.94,-3,MANTENER
4,0.4,2.79,4,BAJAR
1,1.0,1.49,-2,MANTENER
2,1.0,1.0,1,MANTENER
1,1.0,0.99,5,SUBIR
1,1.0,1.31,5,SUBIR
2,0.33,2.14,5,BAJAR
5,0.83,1.87,-1,BAJAR
5,0.83,2.16,-2,BAJAR
3,0.75,2.2,4,MANTENER
1,1.0,1.14,0,MANTENER
2,1.0,1.0,5,SUBIR
2,1.0,1.28,1,MANTENER
4,1.0,1.47,-3,MANTENER
2,1.0,1.32,-3,MANTENER
2,1.0,1.35,3,SUBIR
2,1.0,1.15,1,MANTENER
5,1.0,1.41,0,MANTENER
4,1.0,1.55,4,MANTENER
2,1.0,1.25,1,MANTENER
4,1.0,1.28,-1,MANTENER
4,0.8,1.59,-1,BAJAR
4,1.0,1.22,-2,MANTENER
2,1.0,1.07,-3,MANTENER
3,1.0,0.93,-1,MANTENER
1,0.5,2.81,4,BAJAR
5,0.83,1.54,2,MANTENER
3,1.0,1.03,-2,MANTENER
4,1.0,1.25,-1,MANTENER
3,0.75,1.93,-3,BAJAR
5,1.0,1.54,2,MANTENER
3,0.5,2.1,-2,BAJAR
1,1.0,1.0,-2,MANTENER
2,0.67,1.93,2,MANTENER
3,1.0,1.46,0,MANTENER
2,0.0,2.82,-2,BAJAR
5,1.0,0.95,0,MANTENER
1,0.0,2.6,0,BAJAR
2,0.67,2.46,-1,BAJAR
4,1.0,1.15,3,MANTENER
3,1.0,1.56,5,MANTENER
2,1.0,0.87,4,SUBIR
2,1.0,1.44,-2,MANTENER
5,0.83,1.99,-2,BAJAR
1,0.0,1.98,4,BAJAR
5,0.67,1.89,0,MANTENER
1,0.0,2.21,-2,BAJAR
3,1.0,0.93,0,MANTENER
2,1.0,1.21,3,SUBIR
2,0.67,1.4,2,MANTENER
4,0.8,2.1,-2,BAJAR
5,0.67,1.68,3,MANTENER
2,1.0,1.84,3,MANTENER
2,1.0,2.29,1,MANTENER
3,0.75,2.39,-1,BAJAR
1,1.0,1.32,1,MANTENER
2,1.0,1.48,-1,MANTENER
3,1.0,1.18,3,MANTENER
2,1.0,1.21,5,SUBIR
5,1.0,1.18,2,MANTENER
1,0.5,1.71,-3,BAJAR
5,0.83,1.47,3,MANTENER
4,0.8,2.02,1,MANTENER
5,0.83,2.53,4,MANTENER
5,1.0,1.17,1,MANTENER
1,1.0,1.0,5,SUBIR
2,1.0,1.4,0,MANTENER
3,1.0,1.42,-1,MANTENER
2,1.0,1.18,1,MANTENER
2,1.0,0.98,-3,MANTENER
2,0.67,1.75,-1,BAJAR
2,1.0,1.06,4,SUBIR
3,1.0,1.04,3,MANTENER
5,0.0,2.23,-3,BAJAR
2,0.67,2.4,1,MANTENER
5,1.0,0.93,-2,MANTENER
1,1.0,1.11,2,SUBIR
1,1.0,1.0,0,MANTENER
4,0.8,2.56,4,MANTENER
4,1.0,1.25,1,MANTENER
5,1.0,1.01,-3,MANTENER
2,1.0,0.98,2,MANTENER
1,0.5,1.3,0,BAJAR
5,1.0,1.54,0,MANTENER
1,1.0,1.08,0,MANTENER
5,1.0,1.55,0,MANTENER
5,0.83,1.78,2,MANTENER
4,1.0,1.29,5,SUBIR
1,1.0,0.91,3,SUBIR
1,1.0,1.54,-2,MANTENER
3,0.75,2.25,1,MANTENER
4,1.0,1.6,2,MANTENER
2,1.0,1.0,4,SUBIR
1,1.0,2.28,2,MANTENER
2,1.0,0.8,0,MANTENER
3,0.5,1.65,2,BAJAR
1,1.0,2.59,2,MANTENER
1,1.0,1.46,1,MANTENER
4,1.0,1.51,0,MANTENER
4,1.0,1.22,3,MANTENER
4,1.0,0.88,0,MANTENER
2,0.67,2.59,-3,BAJAR
2,1.0,0.99,3,SUBIR
5,1.0,1.45,-2,MANTENER
2,1.0,0.83,3,SUBIR
3,0.5,3.4,-1,BAJAR
5,0.83,1.96,-2,BAJAR
4,1.0,0.86,3,MANTENER
3,0.75,2.56,-1,BAJAR
5,0.67,2.62,-3,BAJAR
5,1.0,1.15,1,MANTENER
4,1.0,1.42,0,MANTENER
2,0.33,2.05,2,BAJAR
4,1.0,2.1,0,MANTENER
5,1.0,1.02,3,MANTENER
1,1.0,1.53,-2,MANTENER
1,0.0,1.83,1,BAJAR
5,1.0,1.21,4,SUBIR
5,0.83,1.95,-1,BAJAR
3,1.0,1.18,4,SUBIR
3,1.0,1.4,1,MANTENER
1,1.0,0.94,-3,MANTENER
2,1.0,1.36,0,MANTENER
4,1.0,1.26,0,MANTENER
3,1.0,1.94,4,MANTENER
1,0.5,3.59,2,BAJAR
2,1.0,1.26,4,SUBIR
1,0.0,2.23,0,BAJAR
3,1.0,1.19,2,MANTENER
3,1.0,0.8,0,MANTENER
2,1.0,1.35,-3,MANTENER
5,1.0,0.97,-1,MANTENER
2,0.67,1.92,1,MANTENER
5,1.0,1.12,1,MANTENER
2,1.0,1.5,5,SUBIR
5,0.17,2.49,-1,BAJAR
2,0.67,2.61,-2,BAJAR
3,1.0,1.06,-3,MANTENER
4,0.8,3.25,-3,BAJAR
4,1.0,1.46,3,MANTENER
1,0.5,2.34,-3,BAJAR
2,1.0,1.87,1,MANTENER
5,1.0,1.19,0,MANTENER
4,1.0,0.86,0,MANTENER
4,0.8,2.01,-1,BAJAR
2,0.33,2.12,-3,BAJAR
2,1.0,1.07,-1,MANTENER
5,1.0,1.39,1,MANTENER
1,0.5,2.65,4,BAJAR
3,0.75,1.91,1,MANTENER
3,1.0,0.82,1,MANTENER
2,0.67,2.27,1,MANTENER
4,1.0,1.33,0,MANTENER
5,1.0,1.19,3,MANTENER
1,1.0,1.54,-1,MANTENER
5,0.67,2.52,5,MANTENER
2,1.0,1.56,1,MANTENER
3,0.75,1.33,-1,BAJAR
5,0.83,3.01,2,MANTENER
5,1.0,1.28,5,MANTENER
5,1.0,1.32,5,MANTENER
5,1.0,1.38,3,MANTENER
4,0.6,1.8,0,MANTENER
