Nivel,Largo_Patron,Aciertos,Errores,Accuracy,Tiempo_por_Acierto,Racha,Accion
5,5,4,1,0.8,3.67,-5,MANTENER
1,2,1,1,0.5,3.92,-5,BAJAR
2,3,3,0,1.0,1.82,-4,MANTENER
4,5,3,2,0.6,5.31,-5,MANTENER
1,2,1,1,0.5,5.5,-5,BAJAR
2,3,3,0,1.0,1.23,-4,MANTENER
1,2,2,0,1.0,1.13,-3,MANTENER
1,2,1,1,0.5,6.64,-4,BAJAR
5,5,4,1,0.8,2.78,-5,MANTENER
3,4,2,2,0.5,6.61,-5,BAJAR
1,2,2,0,1.0,1.55,-4,MANTENER
1,2,2,0,1.0,1.6,-3,MANTENER
1,2,2,0,1.0,1.61,-2,MANTENER
1,2,1,1,0.5,6.71,-3,BAJAR
2,3,2,1,0.67,4.31,-4,MANTENER
1,2,1,1,0.5,3.97,-5,BAJAR
4,5,3,2,0.6,4.25,-5,MANTENER
5,5,5,0,1.0,1.31,-4,MANTENER
1,2,2,0,1.0,1.17,-3,MANTENER
1,2,1,1,0.5,5.37,-4,BAJAR
2,3,3,0,1.0,1.65,-3,MANTENER
2,3,2,1,0.67,4.18,-4,MANTENER
5,5,5,0,1.0,1.38,-3,MANTENER
1,2,2,0,1.0,1.75,-2,MANTENER
1,2,2,0,1.0,1.24,-1,MANTENER
5,5,4,1,0.8,3.04,-2,MANTENER
4,5,5,0,1.0,1.94,-1,MANTENER
1,2,1,1,0.5,4.92,-2,BAJAR
5,5,5,0,1.0,1.72,-1,MANTENER
1,2,1,1,0.5,5.5,-2,BAJAR
4,5,4,1,0.8,2.42,-3,MANTENER
4,5,4,1,0.8,2.39,-4,MANTENER
2,3,2,1,0.67,3.02,-5,MANTENER
3,4,4,0,1.0,1.15,-4,MANTENER
5,5,4,1,0.8,2.45,-5,MANTENER
1,2,1,1,0.5,6.93,-5,BAJAR
5,5,5,0,1.0,1.67,-4,MANTENER
4,5,4,1,0.8,2.96,-5,MANTENER
1,2,1,1,0.5,3.65,-5,BAJAR
5,5,5,0,1.0,1.92,-4,MANTENER
2,3,2,1,0.67,3.33,-5,MANTENER
4,5,5,0,1.0,1.28,-4,MANTENER
4,5,4,1,0.8,3.13,-5,MANTENER
1,2,1,1,0.5,5.78,-5,BAJAR
4,5,4,1,0.8,3.75,-5,MANTENER
5,5,4,1,0.8,3.44,-5,MANTENER
2,3,2,1,0.67,4.49,-5,MANTENER
3,4,3,1,0.75,3.15,-5,MANTENER
5,5,5,0,1.0,1.27,-4,MANTENER
1,2,1,1,0.5,6.36,-5,BAJAR
3,4,3,1,0.75,4.05,-5,MANTENER
1,2,2,0,1.0,1.29,-4,MANTENER
2,3,3,0,1.0,1.83,-3,MANTENER
2,3,3,0,1.0,1.17,-2,MANTENER
4,5,3,2,0.6,4.5,-3,MANTENER
1,2,1,1,0.5,5.67,-4,BAJAR
5,5,3,2,0.6,3.67,-5,MANTENER
3,4,2,2,0.5,5.92,-5,BAJAR
3,4,4,0,1.0,1.19,-4,MANTENER
2,3,3,0,1.0,1.81,-3,MANTENER
5,5,4,1,0.8,3.04,-4,MANTENER
1,2,1,1,0.5,4.94,-5,BAJAR
4,5,5,0,1.0,1.69,-4,MANTENER
4,5,4,1,0.8,2.3,-5,MANTENER
4,5,4,1,0.8,4.11,-5,MANTENER
4,5,5,0,1.0,1.17,-4,MANTENER
4,5,4,1,0.8,3.23,-5,MANTENER
5,5,5,0,1.0,1.65,-4,MANTENER
4,5,4,1,0.8,2.31,-5,MANTENER
5,5,3,2,0.6,3.87,-5,MANTENER
3,4,2,2,0.5,6.5,-5,BAJAR
3,4,4,0,1.0,1.15,-4,MANTENER
5,5,5,0,1.0,1.13,-3,MANTENER
4,5,3,2,0.6,5.53,-4,MANTENER
4,5,4,1,0.8,4.13,-5,MANTENER
5,5,5,0,1.0,1.44,-4,MANTENER
1,2,2,0,1.0,1.15,-3,MANTENER
2,3,2,1,0.67,3.66,-4,MANTENER
5,5,4,1,0.8,3.83,-5,MANTENER
4,5,4,1,0.8,2.33,-5,MANTENER
5,5,5,0,1.0,1.82,-4,MANTENER
2,3,2,1,0.67,2.86,-5,MANTENER
1,2,1,1,0.5,3.89,-5,BAJAR
4,5,4,1,0.8,2.55,-5,MANTENER
5,5,4,1,0.8,2.77,-5,MANTENER
2,3,3,0,1.0,2.0,-4,MANTENER
2,3,3,0,1.0,1.43,-3,MANTENER
3,4,2,2,0.5,4.22,-4,BAJAR
2,3,2,1,0.67,3.57,-5,MANTENER
2,3,2,1,0.67,4.39,-5,MANTENER
5,5,5,0,1.0,1.99,-4,MANTENER
5,5,5,0,1.0,1.9,-3,MANTENER
4,5,5,0,1.0,1.45,-2,MANTENER
1,2,2,0,1.0,1.4,-1,MANTENER
3,4,3,1,0.75,2.94,-2,MANTENER
1,2,2,0,1.0,1.42,-1,MANTENER
1,2,2,0,1.0,1.66,0,MANTENER
1,2,1,1,0.5,4.64,-1,MANTENER
4,5,5,0,1.0,1.69,0,MANTENER
1,2,1,1,0.5,6.37,-1,MANTENER
4,5,5,0,1.0,1.99,0,MANTENER
3,4,3,1,0.75,4.45,-1,MANTENER
5,5,4,1,0.8,2.74,-2,MANTENER
1,2,1,1,0.5,6.75,-3,BAJAR
5,5,4,1,0.8,2.28,-4,MANTENER
3,4,4,0,1.0,1.86,-3,MANTENER
1,2,2,0,1.0,1.81,-2,MANTENER
5,5,5,0,1.0,1.36,-1,MANTENER
2,3,3,0,1.0,1.84,0,MANTENER
2,3,3,0,1.0,1.64,1,MANTENER
1,2,1,1,0.5,4.1,0,MANTENER
5,5,4,1,0.8,4.34,-1,MANTENER
5,5,3,2,0.6,3.77,-2,MANTENER
1,2,2,0,1.0,1.6,-1,MANTENER
4,5,5,0,1.0,1.22,0,MANTENER
1,2,2,0,1.0,1.17,1,MANTENER
3,4,4,0,1.0,1.97,2,SUBIR
5,5,5,0,1.0,1.68,3,SUBIR
4,5,4,1,0.8,3.79,2,MANTENER
1,2,1,1,0.5,5.39,1,MANTENER
4,5,4,1,0.8,3.91,0,MANTENER
1,2,1,1,0.5,6.98,-1,MANTENER
1,2,2,0,1.0,1.66,0,MANTENER
3,4,4,0,1.0,1.67,1,MANTENER
1,2,2,0,1.0,1.63,2,SUBIR
1,2,2,0,1.0,1.66,3,SUBIR
3,4,3,1,0.75,2.91,2,MANTENER
4,5,5,0,1.0,1.69,3,SUBIR
3,4,3,1,0.75,3.63,2,MANTENER
2,3,3,0,1.0,1.52,3,SUBIR
1,2,1,1,0.5,4.08,2,MANTENER
3,4,4,0,1.0,1.51,3,SUBIR
4,5,4,1,0.8,3.28,2,MANTENER
3,4,3,1,0.75,2.61,1,MANTENER
2,3,2,1,0.67,4.42,0,MANTENER
4,5,4,1,0.8,3.49,-1,MANTENER
3,4,3,1,0.75,4.07,-2,MANTENER
4,5,5,0,1.0,1.88,-1,MANTENER
3,4,3,1,0.75,3.13,-2,MANTENER
2,3,2,1,0.67,4.13,-3,MANTENER
1,2,2,0,1.0,1.21,-2,MANTENER
2,3,2,1,0.67,5.2,-3,MANTENER
5,5,4,1,0.8,3.39,-4,MANTENER
1,2,2,0,1.0,1.77,-3,MANTENER
1,2,1,1,0.5,4.77,-4,BAJAR
5,5,4,1,0.8,3.27,-5,MANTENER
5,5,4,1,0.8,3.41,-5,MANTENER
5,5,4,1,0.8,3.5,-5,MANTENER
4,5,4,1,0.8,3.29,-5,MANTENER
3,4,4,0,1.0,1.8,-4,MANTENER
2,3,3,0,1.0,1.67,-3,MANTENER
1,2,1,1,0.5,6.3,-4,BAJAR
5,5,5,0,1.0,1.15,-3,MANTENER
1,2,2,0,1.0,1.67,-2,MANTENER
4,5,4,1,0.8,3.22,-3,MANTENER
3,4,3,1,0.75,2.62,-4,MANTENER
3,4,3,1,0.75,3.33,-5,MANTENER
3,4,3,1,0.75,3.19,-5,MANTENER
5,5,4,1,0.8,2.51,-5,MANTENER
5,5,3,2,0.6,4.17,-5,MANTENER
5,5,3,2,0.6,3.33,-5,MANTENER
3,4,3,1,0.75,3.36,-5,MANTENER
4,5,4,1,0.8,2.57,-5,MANTENER
4,5,5,0,1.0,1.23,-4,MANTENER
4,5,4,1,0.8,3.23,-5,MANTENER
1,2,1,1,0.5,4.43,-5,BAJAR
2,3,2,1,0.67,4.91,-5,MANTENER
2,3,3,0,1.0,1.26,-4,MANTENER
1,2,2,0,1.0,1.93,-3,MANTENER
3,4,4,0,1.0,1.46,-2,MANTENER
5,5,4,1,0.8,3.74,-3,MANTENER
3,4,3,1,0.75,2.52,-4,MANTENER
2,3,3,0,1.0,1.95,-3,MANTENER
4,5,4,1,0.8,4.17,-4,MANTENER
1,2,2,0,1.0,1.46,-3,MANTENER
2,3,3,0,1.0,1.22,-2,MANTENER
5,5,4,1,0.8,2.6,-3,MANTENER
4,5,5,0,1.0,1.79,-2,MANTENER
5,5,4,1,0.8,2.76,-3,MANTENER
3,4,4,0,1.0,1.4,-2,MANTENER
1,2,2,0,1.0,1.17,-1,MANTENER
2,3,3,0,1.0,1.25,0,MANTENER
1,2,2,0,1.0,1.39,1,MANTENER
2,3,3,0,1.0,1.62,2,SUBIR
4,5,4,1,0.8,2.26,1,MANTENER
4,5,5,0,1.0,1.16,2,SUBIR
5,5,4,1,0.8,2.86,1,MANTENER
1,2,1,1,0.5,4.84,0,MANTENER
1,2,1,1,0.5,5.93,-1,MANTENER
5,5,4,1,0.8,3.8,-2,MANTENER
1,2,2,0,1.0,1.91,-1,MANTENER
3,4,4,0,1.0,1.76,0,MANTENER
4,5,4,1,0.8,2.8,-1,MANTENER
1,2,1,1,0.5,5.43,-2,BAJAR
3,4,2,2,0.5,4.66,-3,BAJAR
3,4,4,0,1.0,1.43,-2,MANTENER
3,4,4,0,1.0,1.87,-1,MANTENER
5,5,3,2,0.6,3.75,-2,MANTENER
2,3,2,1,0.67,4.87,-3,MANTENER
4,5,3,2,0.6,5.75,-4,MANTENER
4,5,4,1,0.8,2.27,-5,MANTENER
1,2,2,0,1.0,1.29,-4,MANTENER
5,5,5,0,1.0,1.25,-3,MANTENER
4,5,5,0,1.0,1.2,-2,MANTENER
1,2,2,0,1.0,1.22,-1,MANTENER
1,2,1,1,0.5,6.49,-2,BAJAR
2,3,3,0,1.0,1.22,-1,MANTENER
5,5,5,0,1.0,1.23,0,MANTENER
1,2,2,0,1.0,1.22,1,MANTENER
3,4,4,0,1.0,1.71,2,SUBIR
4,5,5,0,1.0,1.73,3,SUBIR
1,2,2,0,1.0,1.93,4,SUBIR
1,2,2,0,1.0,1.63,5,SUBIR
4,5,4,1,0.8,3.99,4,MANTENER
2,3,3,0,1.0,1.68,5,SUBIR
2,3,3,0,1.0,1.93,5,SUBIR
5,5,5,0,1.0,1.1,5,SUBIR
4,5,3,2,0.6,3.29,4,MANTENER
4,5,5,0,1.0,1.13,5,SUBIR
5,5,5,0,1.0,1.24,5,SUBIR
4,5,4,1,0.8,4.32,4,MANTENER
3,4,2,2,0.5,4.6,3,MANTENER
4,5,5,0,1.0,1.26,4,SUBIR
3,4,2,2,0.5,5.06,3,MANTENER
4,5,5,0,1.0,1.1,4,SUBIR
5,5,5,0,1.0,1.95,5,SUBIR
5,5,5,0,1.0,1.37,5,SUBIR
4,5,4,1,0.8,2.4,4,MANTENER
3,4,4,0,1.0,1.6,5,SUBIR
4,5,4,1,0.8,3.58,4,MANTENER
5,5,5,0,1.0,1.31,5,SUBIR
4,5,4,1,0.8,4.05,4,MANTENER
1,2,1,1,0.5,6.78,3,MANTENER
1,2,2,0,1.0,1.2,4,SUBIR
2,3,2,1,0.67,4.89,3,MANTENER
3,4,4,0,1.0,1.95,4,SUBIR
2,3,3,0,1.0,1.72,5,SUBIR
1,2,1,1,0.5,4.7,4,MANTENER
2,3,3,0,1.0,1.71,5,SUBIR
3,4,3,1,0.75,2.84,4,MANTENER
5,5,4,1,0.8,4.15,3,MANTENER
2,3,2,1,0.67,3.79,2,MANTENER
5,5,5,0,1.0,1.94,3,SUBIR
5,5,4,1,0.8,2.77,2,MANTENER
4,5,5,0,1.0,1.27,3,SUBIR
2,3,3,0,1.0,1.63,4,SUBIR
2,3,3,0,1.0,1.7,5,SUBIR
1,2,1,1,0.5,5.07,4,MANTENER
5,5,5,0,1.0,1.39,5,SUBIR
4,5,5,0,1.0,1.57,5,SUBIR
5,5,5,0,1.0,1.74,5,SUBIR
2,3,3,0,1.0,1.7,5,SUBIR
3,4,4,0,1.0,1.28,5,SUBIR
5,5,3,2,0.6,3.16,4,MANTENER
5,5,5,0,1.0,1.57,5,SUBIR
3,4,3,1,0.75,3.76,4,MANTENER
4,5,5,0,1.0,1.2,5,SUBIR
2,3,2,1,0.67,3.79,4,MANTENER
3,4,3,1,0.75,4.0,3,MANTENER
1,2,1,1,0.5,6.9,2,MANTENER
4,5,5,0,1.0,1.77,3,SUBIR
1,2,2,0,1.0,1.12,4,SUBIR
1,2,1,1,0.5,4.57,3,MANTENER
4,5,5,0,1.0,1.64,4,SUBIR
1,2,1,1,0.5,4.46,3,MANTENER
3,4,4,0,1.0,1.66,4,SUBIR
3,4,2,2,0.5,5.44,3,MANTENER
2,3,3,0,1.0,1.28,4,SUBIR
4,5,4,1,0.8,3.02,3,MANTENER
5,5,3,2,0.6,5.23,2,MANTENER
2,3,2,1,0.67,2.98,1,MANTENER
4,5,4,1,0.8,4.26,0,MANTENER
3,4,3,1,0.75,3.33,-1,MANTENER
3,4,4,0,1.0,1.97,0,MANTENER
3,4,4,0,1.0,1.98,1,MANTENER
3,4,3,1,0.75,3.71,0,MANTENER
2,3,3,0,1.0,1.21,1,MANTENER
2,3,2,1,0.67,3.06,0,MANTENER
1,2,2,0,1.0,1.19,1,MANTENER
3,4,2,2,0.5,5.31,0,MANTENER
3,4,4,0,1.0,1.66,1,MANTENER
2,3,2,1,0.67,2.77,0,MANTENER
1,2,2,0,1.0,1.35,1,MANTENER
4,5,5,0,1.0,1.42,2,SUBIR
4,5,5,0,1.0,1.17,3,SUBIR
2,3,3,0,1.0,1.48,4,SUBIR
3,4,3,1,0.75,3.5,3,MANTENER
3,4,2,2,0.5,4.51,2,MANTENER
4,5,4,1,0.8,4.11,1,MANTENER
4,5,5,0,1.0,1.24,2,SUBIR
2,3,3,0,1.0,1.65,3,SUBIR
1,2,2,0,1.0,1.38,4,SUBIR
2,3,2,1,0.67,3.08,3,MANTENER
4,5,5,0,1.0,1.86,4,SUBIR
5,5,5,0,1.0,1.65,5,SUBIR
1,2,2,0,1.0,1.79,5,SUBIR
5,5,4,1,0.8,2.64,4,MANTENER
2,3,3,0,1.0,1.57,5,SUBIR
1,2,1,1,0.5,5.29,4,MANTENER
2,3,2,1,0.67,3.96,3,MANTENER
3,4,3,1,0.75,3.38,2,MANTENER
2,3,2,1,0.67,4.74,1,MANTENER
3,4,4,0,1.0,1.54,2,SUBIR
4,5,3,2,0.6,4.6,1,MANTENER
3,4,4,0,1.0,1.93,2,SUBIR
4,5,5,0,1.0,1.31,3,SUBIR
1,2,2,0,1.0,1.86,4,SUBIR
2,3,3,0,1.0,1.14,5,SUBIR
3,4,3,1,0.75,2.68,4,MANTENER
5,5,5,0,1.0,1.48,5,SUBIR
1,2,2,0,1.0,1.83,5,SUBIR
3,4,3,1,0.75,2.82,4,MANTENER
2,3,2,1,0.67,3.49,3,MANTENER
5,5,4,1,0.8,4.23,2,MANTENER
1,2,1,1,0.5,4.87,1,MANTENER
5,5,4,1,0.8,4.01,0,MANTENER
4,5,5,0,1.0,1.34,1,MANTENER
1,2,1,1,0.5,6.93,0,MANTENER
1,2,1,1,0.5,4.48,-1,MANTENER
5,5,5,0,1.0,1.61,0,MANTENER
4,5,5,0,1.0,1.45,1,MANTENER
4,5,4,1,0.8,2.82,0,MANTENER
3,4,4,0,1.0,1.28,1,MANTENER
1,2,2,0,1.0,1.76,2,SUBIR
5,5,5,0,1.0,1.3,3,SUBIR
5,5,4,1,0.8,2.71,2,MANTENER
5,5,3,2,0.6,5.56,1,MANTENER
2,3,3,0,1.0,1.5,2,SUBIR
1,2,1,1,0.5,5.26,1,MANTENER
1,2,2,0,1.0,1.58,2,SUBIR
1,2,1,1,0.5,6.42,1,MANTENER
5,5,5,0,1.0,1.41,2,SUBIR
1,2,1,1,0.5,5.57,1,MANTENER
2,3,2,1,0.67,3.93,0,MANTENER
2,3,2,1,0.67,3.96,-1,MANTENER
4,5,4,1,0.8,2.76,-2,MANTENER
1,2,2,0,1.0,1.89,-1,MANTENER
4,5,5,0,1.0,1.72,0,MANTENER
4,5,4,1,0.8,2.8,-1,MANTENER
4,5,3,2,0.6,4.4,-2,MANTENER
4,5,3,2,0.6,5.01,-3,MANTENER
4,5,4,1,0.8,3.27,-4,MANTENER
5,5,4,1,0.8,2.64,-5,MANTENER
5,5,5,0,1.0,1.3,-4,MANTENER
3,4,3,1,0.75,3.26,-5,MANTENER
5,5,5,0,1.0,1.63,-4,MANTENER
3,4,4,0,1.0,1.57,-3,MANTENER
5,5,5,0,1.0,1.69,-2,MANTENER
1,2,2,0,1.0,1.87,-1,MANTENER
2,3,2,1,0.67,4.47,-2,MANTENER
1,2,1,1,0.5,5.17,-3,BAJAR
2,3,2,1,0.67,4.08,-4,MANTENER
1,2,2,0,1.0,1.92,-3,MANTENER
4,5,3,2,0.6,4.07,-4,MANTENER
2,3,3,0,1.0,1.64,-3,MANTENER
4,5,3,2,0.6,3.93,-4,MANTENER
3,4,2,2,0.5,6.45,-5,BAJAR
1,2,1,1,0.5,6.6,-5,BAJAR
1,2,1,1,0.5,6.51,-5,BAJAR
1,2,1,1,0.5,6.23,-5,BAJAR
1,2,2,0,1.0,1.67,-4,MANTENER
2,3,3,0,1.0,1.23,-3,MANTENER
4,5,5,0,1.0,1.83,-2,MANTENER
4,5,5,0,1.0,1.93,-1,MANTENER
1,2,2,0,1.0,1.62,0,MANTENER
1,2,1,1,0.5,4.2,-1,MANTENER
5,5,4,1,0.8,3.81,-2,MANTENER
2,3,2,1,0.67,4.18,-3,MANTENER
1,2,1,1,0.5,5.18,-4,BAJAR
5,5,3,2,0.6,4.13,-5,MANTENER
4,5,4,1,0.8,2.57,-5,MANTENER
4,5,4,1,0.8,3.36,-5,MANTENER
5,5,4,1,0.8,3.84,-5,MANTENER
1,2,2,0,1.0,1.27,-4,MANTENER
5,5,4,1,0.8,2.66,-5,MANTENER
1,2,1,1,0.5,5.58,-5,BAJAR
2,3,3,0,1.0,1.24,-4,MANTENER
2,3,2,1,0.67,3.34,-5,MANTENER
1,2,1,1,0.5,6.08,-5,BAJAR
4,5,3,2,0.6,5.71,-5,MANTENER
1,2,1,1,0.5,5.74,-5,BAJAR
2,3,3,0,1.0,1.3,-4,MANTENER
2,3,3,0,1.0,1.34,-3,MANTENER
1,2,2,0,1.0,1.55,-2,MANTENER
3,4,3,1,0.75,3.6,-3,MANTENER
3,4,2,2,0.5,4.49,-4,BAJAR
5,5,4,1,0.8,3.56,-5,MANTENER
5,5,4,1,0.8,2.52,-5,MANTENER
1,2,2,0,1.0,1.27,-4,MANTENER
3,4,3,1,0.75,3.41,-5,MANTENER
3,4,4,0,1.0,1.13,-4,MANTENER
5,5,5,0,1.0,1.35,-3,MANTENER
5,5,5,0,1.0,1.17,-2,MANTENER
1,2,2,0,1.0,1.36,-1,MANTENER
5,5,4,1,0.8,4.33,-2,MANTENER
2,3,2,1,0.67,4.84,-3,MANTENER
5,5,5,0,1.0,1.49,-2,MANTENER
5,5,4,1,0.8,4.18,-3,MANTENER
5,5,4,1,0.8,2.32,-4,MANTENER
2,3,2,1,0.67,4.36,-5,MANTENER
2,3,3,0,1.0,1.88,-4,MANTENER
5,5,5,0,1.0,1.91,-3,MANTENER
5,5,4,1,0.8,3.93,-4,MANTENER
3,4,2,2,0.5,3.61,-5,BAJAR
3,4,2,2,0.5,6.92,-5,BAJAR
3,4,4,0,1.0,1.34,-4,MANTENER
1,2,2,0,1.0,1.49,-3,MANTENER
5,5,5,0,1.0,1.84,-2,MANTENER
5,5,5,0,1.0,1.75,-1,MANTENER
5,5,5,0,1.0,1.2,0,MANTENER
2,3,3,0,1.0,1.84,1,MANTENER
4,5,4,1,0.8,3.46,0,MANTENER
1,2,2,0,1.0,1.58,1,MANTENER
5,5,5,0,1.0,1.15,2,SUBIR
1,2,2,0,1.0,1.72,3,SUBIR
4,5,5,0,1.0,1.98,4,SUBIR
2,3,3,0,1.0,2.0,5,SUBIR
5,5,3,2,0.6,5.31,4,MANTENER
3,4,4,0,1.0,1.31,5,SUBIR
5,5,4,1,0.8,3.44,4,MANTENER
2,3,2,1,0.67,4.03,3,MANTENER
2,3,3,0,1.0,1.76,4,SUBIR
2,3,3,0,1.0,1.24,5,SUBIR
1,2,1,1,0.5,3.76,4,MANTENER
4,5,4,1,0.8,4.07,3,MANTENER
4,5,4,1,0.8,4.35,2,MANTENER
3,4,3,1,0.75,3.13,1,MANTENER
2,3,2,1,0.67,4.04,0,MANTENER
1,2,2,0,1.0,1.28,1,MANTENER
1,2,2,0,1.0,1.11,2,SUBIR
1,2,2,0,1.0,1.58,3,SUBIR
1,2,2,0,1.0,1.65,4,SUBIR
4,5,4,1,0.8,3.04,3,MANTENER
2,3,3,0,1.0,1.96,4,SUBIR
3,4,3,1,0.75,2.85,3,MANTENER
2,3,2,1,0.67,3.33,2,MANTENER
4,5,4,1,0.8,3.02,1,MANTENER
1,2,2,0,1.0,1.5,2,SUBIR
3,4,4,0,1.0,1.48,3,SUBIR
1,2,2,0,1.0,1.23,4,SUBIR
2,3,3,0,1.0,1.72,5,SUBIR
4,5,5,0,1.0,1.2,5,SUBIR
3,4,3,1,0.75,3.07,4,MANTENER
2,3,3,0,1.0,1.23,5,SUBIR
5,5,5,0,1.0,1.8,5,SUBIR
1,2,2,0,1.0,1.12,5,SUBIR
1,2,1,1,0.5,6.89,4,MANTENER
5,5,5,0,1.0,1.51,5,SUBIR
1,2,1,1,0.5,6.37,4,MANTENER
5,5,5,0,1.0,1.81,5,SUBIR
3,4,3,1,0.75,4.35,4,MANTENER
1,2,2,0,1.0,1.97,5,SUBIR
3,4,4,0,1.0,1.74,5,SUBIR
2,3,3,0,1.0,1.37,5,SUBIR
5,5,4,1,0.8,2.28,4,MANTENER
2,3,2,1,0.67,5.23,3,MANTENER
4,5,4,1,0.8,3.82,2,MANTENER
3,4,4,0,1.0,1.41,3,SUBIR
3,4,3,1,0.75,2.56,2,MANTENER
5,5,4,1,0.8,3.88,1,MANTENER
1,2,1,1,0.5,6.49,0,MANTENER
3,4,2,2,0.5,6.12,-1,MANTENER
4,5,4,1,0.8,2.41,-2,MANTENER
2,3,2,1,0.67,2.94,-3,MANTENER
1,2,2,0,1.0,1.47,-2,MANTENER
3,4,3,1,0.75,2.44,-3,MANTENER
4,5,4,1,0.8,3.26,-4,MANTENER
1,2,2,0,1.0,1.44,-3,MANTENER
3,4,2,2,0.5,6.04,-4,BAJAR
4,5,5,0,1.0,1.78,-3,MANTENER
3,4,3,1,0.75,4.24,-4,MANTENER
3,4,2,2,0.5,5.61,-5,BAJAR
2,3,3,0,1.0,1.95,-4,MANTENER
5,5,3,2,0.6,3.18,-5,MANTENER
4,5,5,0,1.0,1.48,-4,MANTENER
1,2,1,1,0.5,6.49,-5,BAJAR
4,5,5,0,1.0,1.41,-4,MANTENER
4,5,3,2,0.6,4.86,-5,MANTENER
1,2,2,0,1.0,1.41,-4,MANTENER
4,5,5,0,1.0,1.79,-3,MANTENER
2,3,3,0,1.0,1.37,-2,MANTENER
4,5,4,1,0.8,3.82,-3,MANTENER
5,5,3,2,0.6,3.68,-4,MANTENER
4,5,5,0,1.0,1.5,-3,MANTENER
1,2,1,1,0.5,4.78,-4,BAJAR
5,5,5,0,1.0,1.82,-3,MANTENER
5,5,5,0,1.0,1.36,-2,MANTENER
1,2,2,0,1.0,1.88,-1,MANTENER
3,4,2,2,0.5,4.33,-2,BAJAR
5,5,5,0,1.0,1.12,-1,MANTENER
1,2,2,0,1.0,1.11,0,MANTENER
5,5,5,0,1.0,1.97,1,MANTENER
5,5,5,0,1.0,1.4,2,SUBIR
2,3,2,1,0.67,3.14,1,MANTENER
5,5,5,0,1.0,1.36,2,SUBIR
5,5,4,1,0.8,3.37,1,MANTENER
3,4,2,2,0.5,5.69,0,MANTENER
2,3,3,0,1.0,2.0,1,MANTENER
